91	US	1855	14150	514
92	US	223		
93	US	115053	48170	505
94	US	6360		
95	US	124245	60406	602
96	US	126551	8270	504
97	US	223		
98	US	116153	16686	574
99	US	10192	60651	602
100	US	223		
101	US	223		
102	US	4904	61704	675
103	US	1159	65109	604
104	US	2044	75038	623
105	US	223		
106	US	223		
107	US	7167	10118	501
108	US	4751		
109	US	1998	92780	803
110	US	223		
111	US	223		
112	CA	223		
113	US	2366	27295	518
114	MX	3027	43220	535
115	US	3880	35758	691
116	BR	11768	82901	770
117	US	8636	32344	530
118	US	2836	23464	544
119	US	121568	16148	536
120	US	4745	48207	505
121	US	1459	77002	618
122	US	11679		
123	US	15111	63129	609
124	US	223		
125	US	9151	63021	609
126	US	2565	48162	505
127	US	780	60602	602
128	US	6257	92410	803
129	US	664	20904	511
130	US	10627	33990	571
131	US	939	65802	619
132	US	38564	32162	534
133	US	2703	94043	807
134	US	223		
135	US	115216	11368	501
136	US	120024	32233	561
137	US	6807	17011	566
138	US	13385	2476	506
139	CA	8118	93401	855
140	LU	4751		
141	AT	116158	7029	501
142	NL	7426	1605	506
143	BE	223		
144	RO	245832	22102	511
145	CZ	25110	15143	508
146	SK	3201	22042	511
147	ES	7653	60016	602
148	US	11679		
149	FI	39710	8822	501
150	US	13494	83460	758
151	US	135549	17938	577
152	US	223		
153	US	223		
154	US	118507	8007	504
155	US	9754	11237	501
156	US	117919	29369	567
157	US	12253	21030	512
158	US	180126	7189	501
159	US	3130	7430	501
160	US	2488	28262	517
161	US	3061	40229	529
162	US	5987	66202	616
163	US	223		
164	US	6732	77077	618
165	US	223		
166	CA	223		
167	US	3758	48114	505
168	MX	3290	2302	506
169	US	1052	64106	616
170	BR	223		
171	US	118272	48854	551
172	US	2254	80634	751
173	US	129549	44629	510
174	US	223		
175	US	4460	91761	803
176	US	3048	22079	511
177	US	223		
178	US	790	90017	803
179	US	131495	35051	630
180	US	5884	34205	539
181	US	5421	20007	511
182	US	3204	92501	803
183	US	20273	70043	622
184	US	116332	37135	659
185	US	869	20109	511
186	US	223		
187	US	12693	8105	504
188	US	223		
189	US	5416	20016	511
190	US	21947	81504	773
191	US	1252	19107	504
192	US	2827	15601	508
193	US	116042	53089	617
194	CA	223		
195	US	852	76104	623
196	MX	223		
197	US	6143	44512	536
198	BR	4751		
199	US	181528	52591	637
200	US	120752	1230	532
201	US	223		
202	US	14120	11729	501
203	US	223		
204	US	2806	35601	691
205	US	8689	80220	751
206	US	1570	99501	743
207	US	3678	65203	604
208	US	1621	32801	534
209	US	1236	36608	686
210	US	13206	31061	503
211	US	7862	48124	505
212	US	189942	25019	564
213	US	223		
214	US	12824	11210	501
215	US	271311	81507	773
216	US	218703	25404	511
217	US	2703	94043	807
218	US	15998	69361	759
219	US	5968	17701	577
220	US	869	20109	511
221	US	4002	7103	501
222	US	11245	60087	602
223	CA	4530	95355	862
224	US	2703	94043	807
225	MX	1499	77386	618
226	US	12131	10473	501
227	BR	46723	11003	501
228	US	6360		
229	US	5998	20723	511
230	US	121872	7070	501
231	US	13400	2860	521
232	US	223		
233	US	115700	94553	807
234	US	11357	31204	503
235	US	223		
236	US	4652	29201	546
237	US	1168	37214	659
238	US	12853	50613	637
239	US	223		
240	US	173686	97498	820
241	US	780	60602	602
242	US	4751		
243	US	134077	3452	506
244	CA	118272	48854	551
245	US	223		
246	MX	223		
247	US	129464	54739	613
248	BR	6983	38017	640
249	US	11072	73160	650
250	US	2433	37122	659
251	US	23565	33101	528
252	US	1247	2169	506
253	US	2704	22304	511
254	US	7716	11355	501
255	US	4751		
256	US	731	4240	500
257	US	30400	79904	765
258	US	2859	97501	813
259	US	218618	89169	839
260	US	632	10016	501
261	US	223		
262	US	223		
263	US	5360	55422	613
264	US	135213	28586	545
265	US	6834	85283	753
266	US	117130	47362	527
267	US	4072	60025	602
268	US	8098	32836	534
269	US	114999	74055	671
270	US	17164	37130	659
271	US	122828	11778	501
272	LU	1842	68102	652
273	AT	122957	4096	500
274	NL	3738	43615	547
275	BE	10953	10467	501
276	RO	2688	94539	807
277	CZ	13573	84058	770
278	SK	5143	94110	807
279	ES	14127	10583	501
280	US	123634	4071	500
281	FI	223		
282	US	136632	22989	556
283	US	35389	7040	501
284	US	123159	13820	526
285	US	3251	23113	556
286	US	245844	32955	534
287	US	3541	46580	588
288	US	122890	12078	532
289	US	3840	6119	533
290	US	118602	65350	616
291	US	1387	94550	807
292	US	122410	8801	501
293	US	223		
294	US	117672	63020	609
295	US	4548	27858	545
296	US	223		
297	US	2367	29650	567
298	US	136933	86327	753
299	US	4067	6902	501
300	US	12597	78682	635
301	US	4751		
302	CA	12213	1852	506
303	US	1576	32803	534
304	MX	137718	12197	526
305	US	6163	49022	588
306	BR	6192	21702	511
307	US	2703	94043	807
308	US	118413	11377	501
309	US	121539	86322	753
310	US	223		
311	US	5001	54449	705
312	US	4751		
313	US	874	60433	602
314	US	223		
315	US	158791	37726	557
316	US	223		
317	US	6732	77077	618
318	US	156520	37357	659
319	US	223		
320	US	19022	23238	556
321	US	22513	1867	506
322	US	4397	78660	635
323	US	223		
324	US	223		
325	US	5350	39401	710
326	US	4751		
327	US	9682	80922	752
328	US	7584	34788	534
329	US	4517	36830	522
330	US	1130	21044	512
331	US	41050	38654	640
332	US	4751		
333	US	18993	27587	560
334	US	12333	10468	501
335	US	160535	72635	619
336	CA	8184	77063	618
337	US	223		
338	MX	121342	84332	770
339	US	9465	73125	650
